trial_id,method,source_size,retained_size,removed_count,library_reduction,budget_kind,budget_fraction,budget_amount,passive_value,research_option_premium,total_value,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,operational_loss,generative_loss,total_dynamic_loss,future_value_loss,retained_ids,decomposition_gate
65,approx_operational,6,2,4,2//3,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
65,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
66,frontier_only,4,2,2,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,63//1024,63//1024,0//1,63//1024,63//1024,true,inactive;strategy_1,true
66,innovation_safe,4,3,1,1//4,none,0//1,0//1,175//16,63//1024,11263//1024,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_3,true
66,approx_operational,4,3,1,1//4,passive_value,1//10,35//32,2625//256,189//2048,21189//2048,175//256,-63//2048,1337//2048,175//256,0//1,1337//2048,true,inactive;strategy_2;strategy_3,true
66,approx_generative,4,3,1,1//4,research_option_premium,1//20,63//20480,2625//256,189//2048,21189//2048,175//256,-63//2048,1337//2048,175//256,0//1,1337//2048,true,inactive;strategy_2;strategy_3,true
67,frontier_only,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,81//1024,81//1024,0//1,81//1024,81//1024,true,inactive;strategy_2,true
67,innovation_safe,5,3,2,2//5,none,0//1,0//1,175//16,81//1024,11281//1024,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_4,true
67,approx_operational,5,2,3,3//5,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,81//1024,81//1024,0//1,81//1024,81//1024,true,inactive;strategy_2,true
67,approx_generative,5,3,2,2//5,research_option_premium,1//20,81//20480,175//16,81//1024,11281//1024,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_4,true
68,frontier_only,6,3,3,1//2,none,0//1,0//1,175//16,502731//262144,3369931//262144,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3;strategy_4,true
68,innovation_safe,6,3,3,1//2,none,0//1,0//1,175//16,502731//262144,3369931//262144,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3;strategy_4,true
68,approx_operational,6,2,4,2//3,passive_value,1//10,35//32,1925//192,634251//262144,9787553//786432,175//192,-2055//4096,5035//12288,175//192,0//1,5035//12288,true,inactive;strategy_3,true
68,approx_generative,6,2,4,2//3,research_option_premium,1//20,502731//5242880,525//64,897291//262144,3047691//262144,175//64,-6165//4096,5035//4096,175//64,0//1,5035//4096,true,inactive;strategy_2,true
69,frontier_only,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
69,innovation_safe,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
69,approx_operational,5,2,3,3//5,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
69,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
70,frontier_only,6,3,3,1//2,none,0//1,0//1,525//64,0//1,525//64,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
70,innovation_safe,6,3,3,1//2,none,0//1,0//1,525//64,0//1,525//64,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
70,approx_operational,6,2,4,2//3,passive_value,1//10,105//128,1925//256,0//1,1925//256,175//256,0//1,175//256,175//256,0//1,175//256,true,inactive;strategy_1,true
70,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,525//64,0//1,525//64,525//64,0//1,525//64,true,inactive,true
71,frontier_only,6,3,3,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_4,true
71,innovation_safe,6,3,3,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_4,true
71,approx_operational,6,3,3,1//2,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_4,true
71,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
72,frontier_only,5,3,2,2//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_3,true
72,innovation_safe,5,4,1,1//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2;strategy_3,true
72,approx_operational,5,3,2,2//5,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_3,true
72,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
73,frontier_only,6,3,3,1//2,none,0//1,0//1,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_5,true
73,innovation_safe,6,3,3,1//2,none,0//1,0//1,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_5,true
73,approx_operational,6,3,3,1//2,passive_value,1//10,245//256,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_5,true
73,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,1225//128,0//1,1225//128,1225//128,0//1,1225//128,true,inactive,true
